num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,train/learnability,train/success_rate,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score,level_sampler/mean_p,level_sampler/mean_max_return,sfl/topk_learnability,sfl/population_learnability,branch/num_dr_updates,branch/num_replay_updates,branch/num_mutation_updates,branch/num_sfl_updates,oracle/bias,oracle/brier,oracle/control_brier,oracle/control_learnability,oracle/predicted_learnability,oracle/rank_corr,oracle/selected_learnability,oracle/selection_gain,oracle/loss,oracle/observations,branch/num_oracle_inserts,oracle/buffer_mean_p
250.0,2048000.0,55244.53512106096,55244.53512106096,37.071540117263794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.00038178820977918804,0.004530861042439938,-1.933030180367723e-09,1.8836405277252197,23.313501358032227,0.0586250014603138,0.10950000584125519,1968.0,1968.0,0.25,nan,0.05957825481891632,0.11128049343824387,0.18768110871315002,0.103515625,0.0517578125,242.0,0.0,0.0,8.0,0.41796875,0.1982421875,0.203125,0.046875,0.25,0.6883242726325989,0.0524553582072258,1.1190476417541504,0.35120293498039246,2000.0,1.0,0.10042909532785416
500.0,4096000.0,109054.08492195125,54527.04246097562,37.55934500694275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0005606726044788957,0.004499522037804127,-6.130900146672502e-05,1.6277793645858765,24.96087646484375,0.1381502002477646,0.2727943956851959,2958.0,6840.0,0.25,nan,0.08650309592485428,0.1442967802286148,0.26109519600868225,0.140625,0.0703125,242.0,121.0,121.0,16.0,-0.016965661197900772,0.03368315100669861,0.02881074696779251,0.03125,0.09009068459272385,-0.027518320828676224,0.0758928582072258,2.4285714626312256,0.4907926023006439,6904.0,2.0,0.19992785155773163
750.0,6144000.0,321266.86895787413,107088.95631929138,19.124287605285645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0018491820665076375,0.00598342576995492,-7.848141103750095e-05,1.0640496015548706,26.357376098632812,0.16531778872013092,0.3532162606716156,3954.0,11712.0,0.25,nan,0.13681547343730927,0.19999262690544128,0.3562602698802948,0.212890625,0.1181640625,242.0,242.0,242.0,24.0,-0.07845612615346909,0.08106455206871033,0.04344753175973892,0.0859375,0.15224945545196533,0.17811357975006104,0.1227678656578064,1.4285715818405151,0.5918453931808472,8192.0,3.0,0.28781795501708984
1000.0,8192000.0,429080.03388858953,107270.00847214738,19.09200930595398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0027617730665951967,0.00766849284991622,-0.00014071671466808766,0.9317567348480225,26.843000411987305,0.1691487580537796,0.41480469703674316,4000.0,16584.0,0.25,0.23257796466350555,0.18262432515621185,0.23288437724113464,0.41822969913482666,0.212890625,0.14453125,242.0,363.0,363.0,32.0,-0.08351698517799377,0.10339590907096863,0.16422617435455322,0.1015625,0.1952810138463974,-0.06323261559009552,0.1506696492433548,1.4835165739059448,0.6557893753051758,8192.0,4.0,0.41481226682662964
1250.0,10240000.0,535595.1244136466,107119.02488272934,19.118919372558594,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666679084301,0.053733330219984055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006716666277498007,250.0,0.005469701252877712,0.01254943571984768,-0.00016127675189636648,0.6437397599220276,27.098251342773438,0.15907599031925201,0.5598161220550537,4000.0,21456.0,0.25,0.24285876750946045,0.21240584552288055,0.27540138363838196,0.5023376941680908,0.22265625,0.146484375,242.0,484.0,484.0,40.0,-0.1303490698337555,0.10657479614019394,0.0866689532995224,0.1875,0.24659614264965057,0.0703296810388565,0.140625,0.75,0.616113543510437,8192.0,5.0,0.5846632719039917
1500.0,12288000.0,643640.7398817787,107273.45664696312,19.091395616531372,0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.3078666627407074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038483332842588425,228.5,0.005755946505814791,0.01256695669144392,-5.228255031397566e-05,0.4752494692802429,27.466501235961914,0.1578284054994583,0.6021111607551575,4000.0,26328.0,0.25,0.23871363699436188,0.20774878561496735,0.32581833004951477,0.5992900133132935,0.197265625,0.0986328125,242.0,605.0,605.0,48.0,-0.22490227222442627,0.14594435691833496,0.09680342674255371,0.109375,0.24637150764465332,-0.05659341812133789,0.0970982164144516,0.8877551555633545,0.570526123046875,8192.0,6.0,0.7325794100761414
1750.0,14336000.0,749800.8317054168,107114.40452934527,19.119744062423706,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666679084301,0.2409333437681198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030116667971014977,228.375,0.005734506528824568,0.012437870725989342,-8.994027302833274e-05,0.39448869228363037,28.3070011138916,0.16129736602306366,0.6056264638900757,4000.0,31200.0,0.25,0.22411273419857025,0.17415423691272736,0.37793901562690735,0.688959002494812,0.177734375,0.0888671875,242.0,726.0,726.0,56.0,-0.2296234518289566,0.15094521641731262,0.13553182780742645,0.03125,0.24132204055786133,0.009706960991024971,0.0970982164144516,3.107142925262451,0.48663532733917236,8192.0,7.0,0.8626443147659302
2000.0,16384000.0,857718.0860134783,107214.7607516848,19.101847410202026,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666679084301,0.1077333316206932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01346666645258665,250.0,0.005744187626987696,0.012651471421122551,-0.0001935166510520503,0.38803157210350037,28.746501922607422,0.16013763844966888,0.6188257336616516,4000.0,36072.0,0.2490234375,0.20632117986679077,0.13419091701507568,0.4256826341152191,0.752999484539032,0.10546875,0.052734375,242.0,847.0,847.0,64.0,-0.3146279454231262,0.16939261555671692,0.014560157433152199,0.0234375,0.22913610935211182,0.0011446888092905283,0.0569196455180645,2.4285717010498047,0.5421431064605713,8192.0,8.0,0.889316976070404
2250.0,18432000.0,963446.5559439516,107049.61732710573,19.13131546974182,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666679084301,0.08973332494497299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011216665618121624,250.0,0.0055733188055455685,0.012253309600055218,-0.0002119010896421969,0.3414349853992462,28.77950096130371,0.16523846983909607,0.5986595153808594,4000.0,40944.0,0.25,0.20266665518283844,0.12332727760076523,0.46500375866889954,0.7954815030097961,0.19140625,0.095703125,242.0,968.0,968.0,72.0,-0.115205779671669,0.1273469477891922,0.00682073924690485,0.0234375,0.22778889536857605,-0.02380952797830105,0.106026791036129,4.523809909820557,0.502042293548584,8192.0,9.0,0.8710256814956665
2500.0,20480000.0,1072007.944949739,107200.7944949739,19.10433602333069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0058752684853971004,0.01261930726468563,-0.00014306703815236688,0.2913180887699127,28.715625762939453,0.1582130789756775,0.6477388739585876,4000.0,45816.0,0.25,0.20408757030963898,0.1272851973772049,0.5021523833274841,0.8302462697029114,0.140625,0.0703125,242.0,1089.0,1089.0,80.0,-0.28580886125564575,0.1482718288898468,0.004036415833979845,0.0234375,0.22698965668678284,-0.006639195140451193,0.0770089328289032,3.285714626312256,0.520770788192749,8192.0,10.0,0.8794540166854858
