num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,train/learnability,train/success_rate,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score,level_sampler/mean_p,level_sampler/mean_max_return,sfl/topk_learnability,sfl/population_learnability,branch/num_dr_updates,branch/num_replay_updates,branch/num_mutation_updates,branch/num_sfl_updates
250.0,2048000.0,49771.21690416293,49771.21690416293,41.14828062057495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.00028524326626211405,0.004026428330689669,-3.256323211076051e-09,1.7279677391052246,23.33700180053711,0.05325000360608101,0.10200000554323196,1808.0,1808.0,0.25,nan,0.05548257753252983,0.10771571099758148,0.18011260032653809,0.220703125,0.0591517873108387,222.0,0.0,0.0,28.0
500.0,4096000.0,106730.92843568418,53365.46421784209,38.37687969207764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0005730371922254562,0.004224292002618313,-4.672277282224968e-05,1.4923861026763916,24.377750396728516,0.12452888488769531,0.2511045038700104,2807.0,6040.0,0.25,nan,0.07351534068584442,0.14359192550182343,0.2582188844680786,0.21875,0.0488281287252903,242.0,101.0,101.0,56.0
750.0,6144000.0,247272.1322309742,82424.0440769914,24.847118616104126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0016647828742861748,0.005116409622132778,-5.747237810282968e-05,0.8359494805335999,25.394500732421875,0.1639050990343094,0.35054755210876465,3724.0,10512.0,0.25,nan,0.09904978424310684,0.20183834433555603,0.3560495972633362,0.25,0.1411830484867096,242.0,212.0,212.0,84.0
1000.0,8192000.0,335938.3356438069,83984.58391095173,24.385427713394165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.002766137709841132,0.007334028370678425,-0.0001521250233054161,0.7487514019012451,25.521251678466797,0.1686806082725525,0.42950794100761414,4000.0,14984.0,0.25,0.204891175031662,0.1158217266201973,0.24333207309246063,0.4236331880092621,0.25,0.1409040242433548,242.0,323.0,323.0,112.0
1250.0,10240000.0,388698.1268444862,77739.62536889724,26.344351291656494,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.08335999399423599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010419999249279499,250.0,0.0046633463352918625,0.010888936929404736,-0.00017808569828048348,0.6030364036560059,26.596500396728516,0.1675357073545456,0.5559585094451904,4000.0,19456.0,0.25,0.20886217057704926,0.13274168968200684,0.28052860498428345,0.49081361293792725,0.25,0.1473214328289032,242.0,434.0,434.0,140.0
1500.0,12288000.0,414326.712895665,69054.45214927751,29.65775465965271,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.03519999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004399999976158142,250.0,0.005466881673783064,0.012173451483249664,-0.00015275045007001609,0.46709325909614563,25.619125366210938,0.14106528460979462,0.6737428903579712,4000.0,23928.0,0.2481536865234375,0.21114078164100647,0.1498400717973709,0.3272576928138733,0.5738576650619507,0.236328125,0.0915178582072258,242.0,545.0,545.0,168.0
1750.0,14336000.0,492712.1366542969,70387.44809347099,29.096096754074097,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.09667999297380447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01208499912172556,240.875,0.0053892540745437145,0.011873614974319935,-0.00022072791762184352,0.326825886964798,25.33737564086914,0.12872721254825592,0.7264392375946045,4000.0,28400.0,0.24847412109375,0.21643362939357758,0.16661646962165833,0.37391212582588196,0.6598328948020935,0.21484375,0.0507812537252903,242.0,656.0,656.0,196.0
2000.0,16384000.0,639961.1067567184,79995.1383445898,25.601555824279785,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.021519994363188744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002689999295398593,250.0,0.0050954208709299564,0.011367453262209892,-0.00030373138724826276,0.2845743000507355,25.577625274658203,0.1253637820482254,0.7277666926383972,4000.0,32872.0,0.2497243881225586,0.22233079373836517,0.1791287064552307,0.4189739227294922,0.7264704704284668,0.2109375,0.0460379496216774,242.0,767.0,767.0,224.0
2250.0,18432000.0,736794.8046678818,81866.08940754241,25.016463041305542,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.2425999939441681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032499924302101,250.0,0.005435849539935589,0.011855612508952618,-0.0002458932576701045,0.24606351554393768,25.154876708984375,0.12567855417728424,0.7291266918182373,4000.0,37344.0,0.2490234375,0.22546420991420746,0.18728092312812805,0.4584212601184845,0.7727201581001282,0.21484375,0.0465959832072258,242.0,878.0,878.0,252.0
2500.0,20480000.0,830778.1400045332,83077.81400045332,24.65158748626709,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.051319994032382965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006414999254047871,250.0,0.005445125978440046,0.011738084256649017,-0.00021353704505600035,0.2103799283504486,25.488126754760742,0.12211832404136658,0.7378844618797302,4000.0,41816.0,0.24761581420898438,0.22852148115634918,0.1937061846256256,0.49676230549812317,0.8112164735794067,0.205078125,0.0343191996216774,242.0,989.0,989.0,280.0
