num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,train/learnability,train/success_rate,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score,level_sampler/mean_p,level_sampler/mean_max_return,sfl/topk_learnability,sfl/population_learnability,branch/num_dr_updates,branch/num_replay_updates,branch/num_mutation_updates,branch/num_sfl_updates,oracle/bias,oracle/brier,oracle/control_brier,oracle/control_learnability,oracle/control_rank_corr,oracle/predicted_learnability,oracle/rank_corr,oracle/selected_learnability,oracle/selection_gain,oracle/loss,oracle/observations,branch/num_oracle_inserts,oracle/buffer_mean_p
250.0,2048000.0,33228.7857460901,33228.7857460901,61.63330841064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.00038177974056452513,0.004530843812972307,-1.6995940210762228e-09,1.8836405277252197,23.315500259399414,0.05868750438094139,0.10950000584125519,1968.0,1968.0,0.25,nan,0.059641774743795395,0.11128049343824387,0.1866837441921234,0.107421875,0.0537109375,242.0,0.0,0.0,8.0,0.41796875,0.1962890625,0.171875,0.078125,0.7764706015586853,0.25,0.6072803139686584,0.0455729179084301,0.5833333730697632,0.342049777507782,2000.0,1.0,0.10051535815000534
500.0,4096000.0,64661.92953577805,32330.964767889025,63.34484648704529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.00042169203516095877,0.004357445985078812,-5.5427448387490585e-05,1.7016030550003052,24.893375396728516,0.1376807987689972,0.26864850521087646,2961.0,6840.0,0.25,nan,0.08754332363605499,0.14205880463123322,0.25978007912635803,0.140625,0.0703125,242.0,121.0,121.0,16.0,-0.048200905323028564,0.05885392799973488,0.07274351269006729,0.0390625,-0.0676470622420311,0.09009689092636108,-0.08933151513338089,0.0807291716337204,2.066666841506958,0.5216614603996277,6904.0,2.0,0.20906391739845276
750.0,6144000.0,181321.64925348738,60440.54975116246,33.884536266326904,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.0,0.009999996982514858,0.0,0.0,0.0,0.0,0.0,0.0,0.0012499996228143573,250.0,0.0017233876278623939,0.005889802239835262,-9.519205195829272e-05,1.1263214349746704,26.0885009765625,0.17099155485630035,0.35956189036369324,3954.0,11712.0,0.25,nan,0.1429453343153,0.2029409259557724,0.36760416626930237,0.21875,0.14453125,242.0,242.0,242.0,24.0,-0.07383294403553009,0.05942264944314957,0.03801742196083069,0.14453125,0.09117647260427475,0.1584571897983551,0.12967035174369812,0.14453125,0.9999999403953552,0.591666579246521,8192.0,3.0,0.3108775317668915
1000.0,8192000.0,234022.4780301723,58505.61950754307,35.00518441200256,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.07867999374866486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009834999218583107,250.0,0.0039008643943816423,0.009780947118997574,-0.00022039077884983271,0.7692179679870605,27.337501525878906,0.17169135808944702,0.49810218811035156,4000.0,16584.0,0.25,0.23526263236999512,0.19317033886909485,0.24728137254714966,0.44932740926742554,0.224609375,0.1416015625,242.0,363.0,363.0,32.0,-0.11628393083810806,0.11862553656101227,0.12487833201885223,0.1015625,0.0235294122248888,0.19914066791534424,-0.014697805047035217,0.1549479216337204,1.5256410837173462,0.6736581325531006,8192.0,4.0,0.4911901652812958
1250.0,10240000.0,337726.03281044005,67545.20656208802,30.32043433189392,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.09803999215364456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01225499901920557,241.625,0.006087379064410925,0.0135129913687706,-0.00012488666106946766,0.5442299842834473,25.92387580871582,0.14402523636817932,0.6152487993240356,4000.0,21456.0,0.24992024898529053,0.2445327192544937,0.21959982812404633,0.3000355362892151,0.5530571341514587,0.171875,0.0859375,242.0,484.0,484.0,40.0,-0.2970542013645172,0.16356304287910461,0.13861393928527832,0.109375,0.2970588207244873,0.2480143904685974,-0.005906594451516867,0.078125,0.7142857313156128,0.5115020275115967,8192.0,5.0,0.6903917789459229
1500.0,12288000.0,435007.4033860951,72501.23389768251,28.24779510498047,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.24879999458789825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031099999323487282,228.75,0.0063757626339793205,0.0137481065467,-8.888775482773781e-05,0.40940290689468384,26.600875854492188,0.14106447994709015,0.6435254216194153,4000.0,26328.0,0.2490512728691101,0.2280258685350418,0.18436217308044434,0.3535318672657013,0.6478207111358643,0.193359375,0.0966796875,242.0,605.0,605.0,48.0,-0.2566704750061035,0.1249975934624672,0.04729071259498596,0.08984375,0.39411765336990356,0.23419532179832458,0.06790294498205185,0.0989583358168602,1.1014493703842163,0.4022664725780487,8192.0,6.0,0.7988866567611694
1750.0,14336000.0,485152.2367673256,69307.46239533223,29.549487590789795,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.023239994421601295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002904999302700162,249.625,0.006173423025757074,0.01350090280175209,-0.0002347330009797588,0.34229525923728943,26.227876663208008,0.12894855439662933,0.6946017146110535,4000.0,31200.0,0.2499498724937439,0.21648535132408142,0.1559184044599533,0.40365248918533325,0.7252616286277771,0.134765625,0.0673828125,242.0,726.0,726.0,56.0,-0.25283363461494446,0.13545329868793488,0.021311629563570023,0.0390625,0.45588237047195435,0.21727973222732544,-0.22564107179641724,0.0768229216337204,1.9666668176651,0.3613745868206024,8192.0,7.0,0.8793307542800903
2000.0,16384000.0,472341.36210704123,59042.670263380154,34.68677806854248,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.2657199800014496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332149975001812,250.0,0.006546179298311472,0.01410830207169056,-0.00021346702123992145,0.2945050299167633,26.85962677001953,0.13069623708724976,0.6993446946144104,4000.0,36072.0,0.2481536865234375,0.202254980802536,0.12448862195014954,0.45006605982780457,0.7835137844085693,0.115234375,0.0576171875,242.0,847.0,847.0,64.0,-0.22302944958209991,0.14282368123531342,0.025950681418180466,0.02734375,0.3441176414489746,0.20874357223510742,-0.09468866139650345,0.0677083358168602,2.4761905670166016,0.3865753412246704,8192.0,8.0,0.8916272521018982
2250.0,18432000.0,602620.7626048825,66957.8625116536,30.586400508880615,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.054639995098114014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006829999387264252,250.0,0.006338815204799175,0.013889329507946968,-0.0003597948234528303,0.24605438113212585,26.980125427246094,0.13242392241954803,0.717588484287262,4000.0,40944.0,0.25,0.2014196366071701,0.1202898919582367,0.49386322498321533,0.8242270946502686,0.095703125,0.0478515625,242.0,968.0,968.0,72.0,-0.2345060557126999,0.1458480805158615,0.01958862878382206,0.01171875,0.10882353037595749,0.20996834337711334,-0.06675825268030167,0.0598958358168602,5.111111640930176,0.38681861758232117,8192.0,9.0,0.8817485570907593
2500.0,20480000.0,691803.3509759833,69180.33509759833,29.603788375854492,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.14844000339508057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01855500042438507,250.0,0.005955939646810293,0.013031885027885437,-0.00033337456989102066,0.22662824392318726,25.96725082397461,0.12870915234088898,0.722095251083374,4000.0,45816.0,0.24609375,0.19949617981910706,0.1203792467713356,0.5328477621078491,0.8515783548355103,0.109375,0.0546875,242.0,1089.0,1089.0,80.0,-0.24036480486392975,0.1414550244808197,0.01404124591499567,0.02734375,0.0058823530562222,0.20712153613567352,-0.05013737082481384,0.0638020858168602,2.3333334922790527,0.34338074922561646,8192.0,10.0,0.894637405872345
