num_updates,num_env_steps,sps,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy
250.0,2048000.0,26418.520642245217,77.52137327194214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-6.811824277974665e-05,0.002993770642206073,-0.0001162979388027452,1.448705792427063
500.0,4096000.0,72642.95130245427,56.385374307632446,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.11611999571323395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014514999464154243,250.0,0.0024594110436737537,0.007238680496811867,-0.00029912529862485826,0.8608041405677795
750.0,6144000.0,83352.11285290537,73.71138882637024,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.1412399858236313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01765499822795391,250.0,0.005219066049903631,0.01199430599808693,-0.00033390571479685605,0.4441814720630646
1000.0,8192000.0,106085.68064123046,77.22060084342957,0.9000000357627869,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.5,0.1875,0.508679986000061,0.01647999882698059,0.0,0.0,0.0,0.0,0.0,0.14035998284816742,0.08318999409675598,229.5,0.005020800977945328,0.011400475166738033,-0.00036258873296901584,0.3168478012084961
1250.0,10240000.0,133186.37516388795,76.88474130630493,0.9000000357627869,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.13750000298023224,0.5184000134468079,0.024399995803833008,0.0,0.0,0.0,0.0,0.0,0.020799994468688965,0.07045000046491623,231.75,0.004583138041198254,0.010422652587294579,-0.0003913682885468006,0.2368198037147522
1500.0,12288000.0,163134.64871167435,75.32428026199341,1.0,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0,0.0,0.4000000059604645,0.20000000298023224,0.620199978351593,0.05247999355196953,0.0,0.02043999545276165,0.0,0.0,0.0,0.19516000151634216,0.11103498935699463,227.75,0.00411935243755579,0.009611661545932293,-0.0005185588961467147,0.1679190695285797
1750.0,14336000.0,196463.89270345843,72.97015142440796,0.9000000357627869,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.20000000298023224,0.15000000596046448,0.5785199999809265,0.0,0.0,0.0,0.024039996787905693,0.0,0.0,0.03691999241709709,0.0799349993467331,226.5,0.003771044546738267,0.008715440519154072,-0.0004445317026693374,0.14214389026165009
2000.0,16384000.0,223560.94513451538,73.2865035533905,0.9000000357627869,0.0,0.0,0.10000000149011612,0.699999988079071,0.20000000298023224,0.10000000149011612,0.6000000238418579,0.32499998807907104,0.5590800046920776,0.0,0.0,0.026919996365904808,0.16035997867584229,0.04411999136209488,0.03807999566197395,0.19499997794628143,0.12794499099254608,220.25,0.003455015365034342,0.00818587001413107,-0.0005115009844303131,0.12641873955726624
2250.0,18432000.0,253312.98978948212,72.76373791694641,1.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.20000000298023224,0.16249999403953552,0.7544800043106079,0.0,0.0,0.0,0.019719993695616722,0.0,0.0,0.059599991887807846,0.10422499477863312,221.0,0.0032972595654428005,0.007825663313269615,-0.0005065290024504066,0.10904273390769958
2500.0,20480000.0,269567.43198437104,75.97356939315796,0.9000000357627869,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.125,0.4694399833679199,0.0,0.0,0.0,0.035559993237257004,0.0,0.0,0.0,0.06312499940395355,230.25,0.0034010044764727354,0.007501652929931879,-0.00024467604816891253,0.10514602810144424
