num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score
250.0,2048000.0,43764.528880863036,43764.528880863036,46.7958881855011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0007303657475858927,0.005296137649565935,-3.9018017560010776e-05,1.8786848783493042,24.131250381469727,4000.0,8000.0,0.8635233044624329,0.6041576862335205,0.015078498050570488
500.0,4096000.0,91717.3003352688,45858.6501676344,44.65896821022034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.002668056171387434,0.007724200841039419,-0.00010820224997587502,1.0858420133590698,24.748126983642578,4000.0,16000.0,0.7533145546913147,0.5307773351669312,0.050975214689970016
750.0,6144000.0,177639.50481201304,59213.16827067101,34.58690118789673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.004451023880392313,0.011097286827862263,-0.0002845526614692062,0.8130671977996826,24.828876495361328,4000.0,24000.0,0.6962276697158813,0.4932537078857422,0.08066555857658386
1000.0,8192000.0,227072.27093317124,56768.06773329281,36.07661986351013,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.04763999208807945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059549990110099316,250.0,0.005624545272439718,0.012724434956908226,-0.00019508303375914693,0.5425885319709778,24.71700096130371,4000.0,32000.0,0.6097496151924133,0.4320044219493866,0.07337649911642075
1250.0,10240000.0,273606.4416123262,54721.28832246523,37.42601943016052,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.24727998673915863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03090999834239483,250.0,0.0054236422292888165,0.012386352755129337,-0.00035494240000844,0.41459134221076965,24.68862533569336,4000.0,40000.0,0.5395547151565552,0.38578373193740845,0.09470327943563461
1500.0,12288000.0,331959.5138475801,55326.58564126336,37.01656222343445,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.15240000188350677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019050000235438347,250.0,0.006206313613802195,0.013528205454349518,-0.00020051027240697294,0.3572791516780853,25.106626510620117,4000.0,48000.0,0.6136332154273987,0.45032382011413574,0.14874018728733063
1750.0,14336000.0,402190.48359904485,57455.78337129212,35.6448016166687,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.10127999633550644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012659999541938305,250.0,0.0058581470511853695,0.012832514010369778,-0.00025772672961466014,0.30038344860076904,25.41025161743164,4000.0,56000.0,0.6239821314811707,0.4668062925338745,0.18719801306724548
2000.0,16384000.0,462710.59029318846,57838.82378664856,35.40874218940735,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.3012000024318695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03765000030398369,246.375,0.006061600986868143,0.013132096268236637,-0.00022045835794415325,0.2839885950088501,25.17125129699707,4000.0,64000.0,0.7473970055580139,0.5685337781906128,0.2206416130065918
2250.0,18432000.0,512498.637141659,56944.29301573989,35.96497368812561,0.6000000238418579,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.11250000447034836,0.19967997074127197,0.10091998428106308,0.0,0.0,0.0,0.0,0.0,0.0,0.037574995309114456,236.625,0.005476679187268019,0.012092105112969875,-0.0003006445767823607,0.26872918009757996,25.09775161743164,4000.0,72000.0,0.47375166416168213,0.39055827260017395,0.23530952632427216
2500.0,20480000.0,548002.4655322644,54800.24655322644,37.37209463119507,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.12511999905109406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015639999881386757,250.0,0.00556934205815196,0.012154179625213146,-0.0002766692778095603,0.23107902705669403,25.36225128173828,4000.0,80000.0,0.5119250416755676,0.42176902294158936,0.24915525317192078
