num_updates,num_env_steps,sps,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score
250.0,2048000.0,21820.12911315106,93.85828971862793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0009157016756944358,0.00569311436265707,-2.969037632283289e-05,1.9011653661727905,23.947500228881836,4000.0,8000.0,0.8583443760871887,0.6028459072113037,0.026376308873295784
500.0,4096000.0,44341.23893916407,92.37450504302979,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.1024399995803833,0.029439998790621758,0.0,0.0,0.0,0.0,0.0,0.0,0.016485000029206276,250.0,0.0024270114954560995,0.006871371529996395,-9.382997086504474e-05,0.9148440957069397,24.622501373291016,4000.0,16000.0,0.7903060913085938,0.5646350383758545,0.0735543966293335
750.0,6144000.0,75347.78215199139,81.54188251495361,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.058879997581243515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007359999697655439,245.125,0.004697385244071484,0.011655455455183983,-0.00036018350510858,0.7701592445373535,24.81937599182129,4000.0,24000.0,0.7346392273902893,0.5240914225578308,0.08470729738473892
1000.0,8192000.0,102176.85026422284,80.17471647262573,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03750000149011612,0.09875999391078949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012344999238848686,250.0,0.005306378472596407,0.012233522720634937,-0.00033576900023035705,0.47461384534835815,24.759000778198242,4000.0,32000.0,0.6360390782356262,0.4513806402683258,0.07164999097585678
1250.0,10240000.0,127858.25459876674,80.08868908882141,0.800000011920929,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.11250000447034836,0.34063997864723206,0.016839999705553055,0.0,0.0,0.0,0.0,0.0,0.0,0.044684998691082,233.875,0.005487806163728237,0.012184173800051212,-0.0002389730216236785,0.36530765891075134,24.763376235961914,4000.0,40000.0,0.6309986710548401,0.43830636143684387,0.09476111084222794
1500.0,12288000.0,150908.66624385567,81.42673516273499,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.42640000581741333,0.0,0.0,0.0,0.0,0.0,0.0,0.032680001109838486,0.057385001331567764,226.25,0.006232853978872299,0.013375159353017807,-0.0001481497602071613,0.3065756857395172,24.608001708984375,4000.0,48000.0,0.7423971891403198,0.5275571942329407,0.1460629105567932
1750.0,14336000.0,177246.4793659901,80.88171935081482,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.18931998312473297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366499789059162,250.0,0.006184125319123268,0.013389809057116508,-0.00024248121189884841,0.2682981491088867,25.670625686645508,4000.0,56000.0,0.5945841073989868,0.44944560527801514,0.19473788142204285
2000.0,16384000.0,207826.18316351523,78.83510994911194,0.6000000238418579,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000894069672,0.1852799952030182,0.015039998106658459,0.0,0.0,0.0,0.0,0.0,0.033399999141693115,0.029214998707175255,250.0,0.006479159463196993,0.013879107311367989,-0.0001959789515240118,0.26441505551338196,26.082500457763672,4000.0,64000.0,0.6883843541145325,0.5271193981170654,0.23164710402488708
2250.0,18432000.0,231265.0617618676,79.70075488090515,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.07500000298023224,0.26420000195503235,0.0,0.0,0.0,0.0,0.0,0.0,0.03232000023126602,0.03706499934196472,250.0,0.005873604211956263,0.012868646532297134,-0.0003038258000742644,0.256893128156662,26.170001983642578,4000.0,72000.0,0.6365715265274048,0.5020642280578613,0.2533082067966461
2500.0,20480000.0,256442.5039795612,79.86195611953735,0.9000000357627869,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.125,0.3866399824619293,0.0,0.0,0.0,0.0,0.0,0.04635999724268913,0.0,0.054124996066093445,227.5,0.005629476625472307,0.012343198992311954,-0.00030590855749323964,0.23621442914009094,25.854001998901367,4000.0,80000.0,0.4910704791545868,0.41380736231803894,0.260973185300827
2750.0,22528000.0,274831.82794015564,81.97012758255005,0.699999988079071,0.0,0.10000000149011612,0.0,0.0,0.0,0.10000000149011612,0.0,0.11250000447034836,0.341079980134964,0.0,0.01179999765008688,0.0,0.0,0.0,0.042399998754262924,0.0,0.04940999671816826,225.0,0.006016286090016365,0.012933650054037571,-0.00023284902272280306,0.2176898717880249,25.876001358032227,4000.0,88000.0,0.5645207762718201,0.46637988090515137,0.2761284410953522
3000.0,24576000.0,304184.7227672437,80.7930121421814,1.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.13750000298023224,0.4427199363708496,0.023319995030760765,0.0,0.0,0.0,0.0,0.0,0.0,0.058254990726709366,247.375,0.005781420040875673,0.012563812546432018,-0.00029656669357791543,0.20391970872879028,27.18450164794922,4000.0,96000.0,0.5229858756065369,0.44534993171691895,0.2834491729736328
3250.0,26624000.0,328561.988756286,81.03189325332642,0.6000000238418579,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000894069672,0.2893199920654297,0.0,0.02619999647140503,0.0,0.0,0.0,0.0,0.024759996682405472,0.042534999549388885,229.125,0.0059411837719380856,0.012876289896667004,-0.0002939510450232774,0.20301026105880737,26.29650115966797,4000.0,104000.0,0.6601540446281433,0.5420414209365845,0.2900838553905487
3500.0,28672000.0,359865.4046695893,79.67423272132874,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.18779997527599335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02347499690949917,238.5,0.005314783193171024,0.011703738942742348,-0.00034532640711404383,0.19175992906093597,26.791126251220703,4000.0,112000.0,0.5312067866325378,0.4512772262096405,0.28662529587745667
