num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,train/learnability,train/success_rate,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score,level_sampler/mean_p,level_sampler/mean_max_return,sfl/topk_learnability,sfl/population_learnability,branch/num_dr_updates,branch/num_replay_updates,branch/num_mutation_updates,branch/num_sfl_updates,oracle/bias,oracle/brier,oracle/control_brier,oracle/control_learnability,oracle/control_rank_corr,oracle/predicted_learnability,oracle/rank_corr,oracle/selected_learnability,oracle/selection_gain,oracle/loss,oracle/observations,branch/num_oracle_inserts,oracle/buffer_mean_p
250.0,2048000.0,34925.06707595199,34925.06707595199,58.639830112457275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.001752178999595344,0.007396171800792217,2.4501234374696423e-09,1.9459093809127808,23.284502029418945,0.055281251668930054,0.10137500613927841,2000.0,2000.0,0.25,nan,0.055281251668930054,0.10137500613927841,0.1798338145017624,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3642224073410034,2000.0,0.0,0.10103476792573929
500.0,4096000.0,64185.689972410364,32092.844986205182,63.814847230911255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0007757922285236418,0.005003361962735653,-5.1036724471487105e-05,1.6748520135879517,24.82925033569336,0.14268629252910614,0.2843998670578003,3024.0,7032.0,0.25,nan,0.0866936445236206,0.13797004520893097,0.25885701179504395,0.08948372304439545,0.08948372304439545,250.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4474027454853058,7000.0,1.0,0.20248140394687653
750.0,6144000.0,209117.92055386596,69705.97351795532,29.380552291870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0021616797894239426,0.006606720387935638,-0.00010209922766080126,1.039581060409546,26.674001693725586,0.1683221161365509,0.37548255920410156,4000.0,12064.0,0.25,0.21889770030975342,0.1376451551914215,0.20328034460544586,0.35985732078552246,0.13898740708827972,0.13898740708827972,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61939537525177,8192.0,2.0,0.3340061902999878
1000.0,8192000.0,276405.9364531478,69101.48411328695,29.637568950653076,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.011439996771514416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001429999596439302,250.0,0.004638688638806343,0.011366129852831364,-0.00027010662597604096,0.7742693424224854,26.820877075195312,0.16045434772968292,0.5137872695922852,4000.0,17096.0,0.25,0.23734305799007416,0.19766704738140106,0.24468810856342316,0.4404997229576111,0.2037392258644104,0.2037392258644104,250.0,375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6823475956916809,8192.0,3.0,0.46491825580596924
1250.0,10240000.0,351798.8275303559,70359.76550607117,29.107544422149658,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.1085599884390831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013569998554885387,233.5,0.006149431690573692,0.013822345994412899,-0.0002595817786641419,0.5021598935127258,25.98150062561035,0.14867153763771057,0.6263890862464905,4000.0,22128.0,0.25,0.2472119927406311,0.22745203971862793,0.30112987756729126,0.5573497414588928,0.25,0.25,250.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349426507949829,8192.0,4.0,0.5674434900283813
1500.0,12288000.0,429873.9224732742,71645.6537455457,28.58512544631958,0.6000000238418579,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.2849999666213989,0.11971999704837799,0.0,0.0,0.0,0.0,0.0,0.0,0.050589993596076965,250.0,0.006344297900795937,0.013870657421648502,-0.00017581171414349228,0.4152195155620575,26.22075080871582,0.14568832516670227,0.6492184400558472,4000.0,27160.0,0.25,0.24713075160980225,0.22904126346111298,0.3557184040546417,0.6587976217269897,0.249996155500412,0.249996155500412,250.0,625.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782293677330017,8192.0,5.0,0.6242839694023132
1750.0,14336000.0,538409.927935615,76915.70399080214,26.62655210494995,0.699999988079071,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.17499999701976776,0.3187600076198578,0.3500799834728241,0.0,0.0,0.0,0.0,0.0,0.0,0.08360499888658524,228.125,0.006040030624717474,0.01325968187302351,-0.00024804184795357287,0.34176895022392273,27.000625610351562,0.1410275250673294,0.6924639344215393,4000.0,32192.0,0.24609375,0.24159952998161316,0.22411996126174927,0.4113631844520569,0.7347593307495117,0.2491292655467987,0.2491292655467987,250.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5237396955490112,8192.0,6.0,0.6657199263572693
2000.0,16384000.0,668626.7549822438,83578.34437278047,24.503955125808716,1.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.16250000894069672,0.4898799955844879,0.04915999248623848,0.0,0.0,0.0,0.0,0.0,0.02295999601483345,0.0702499970793724,249.875,0.005907301791012287,0.012967940419912338,-0.0002864113193936646,0.29025697708129883,26.468000411987305,0.1390061378479004,0.698793351650238,4000.0,37224.0,0.25,0.24117836356163025,0.21757084131240845,0.45996129512786865,0.7872098088264465,0.23292779922485352,0.23292779922485352,250.0,875.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4681161046028137,8192.0,7.0,0.6979871988296509
2250.0,18432000.0,752017.623668664,83557.51374096268,24.510063886642456,0.9000000357627869,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.359639972448349,0.09047999233007431,0.0,0.0,0.0,0.0,0.0,0.0,0.05626499652862549,225.0,0.005866104271262884,0.01273418590426445,-0.0002551149227656424,0.24587351083755493,26.36862564086914,0.13696147501468658,0.7172989845275879,4000.0,42256.0,0.2490234375,0.23661187291145325,0.20860585570335388,0.5028378963470459,0.8215091228485107,0.24327264726161957,0.24327264726161957,250.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4267442226409912,8192.0,8.0,0.7279136180877686
2500.0,20480000.0,828497.1981294184,82849.71981294185,24.71945595741272,0.9000000357627869,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.13750000298023224,0.4413599967956543,0.0,0.0,0.0,0.0,0.10423999279737473,0.0,0.0,0.0681999996304512,224.0,0.005831539165228605,0.012670221738517284,-0.0003009940846823156,0.20257844030857086,27.343875885009766,0.13665986061096191,0.7232828140258789,4000.0,47288.0,0.25,0.23377642035484314,0.19787342846393585,0.5445834994316101,0.8476338982582092,0.22542691230773926,0.22542691230773926,250.0,1125.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4604271650314331,8192.0,9.0,0.7533749341964722
