run_name,SixteenRooms,SixteenRooms2,Labyrinth,LabyrinthFlipped,Labyrinth2,StandardMaze,StandardMaze2,StandardMaze3
accel_maxmc,0.946,0.409,0.876,0.768,0.809,0.408,0.649,0.451
dr,0.832,0.26,0.0,0.25,0.0,0.516,0.008,0.225
plr_maxmc,0.954,0.46,0.965,0.161,0.514,0.055,0.255,0.105
sfl_accel_learnability,0.835,0.627,0.765,0.971,0.776,0.942,0.925,0.991
sfl_accel_learnability_n64,0.849,0.754,0.654,0.877,0.504,0.857,0.156,0.87
sfl_oracle_learnability_level,1.0,0.912,0.923,0.931,0.736,0.435,0.849,0.337
sfl_oracle_learnability_level_bfs,0.94,0.838,0.919,0.885,0.787,0.913,0.79,0.919
